train_no,station_code,prev_delay_bucket,predicted_delay_min
11013,YNK,0-5,30.3
11013,YNK,5-15,30.4
11013,YNK,15-30,30.5
11013,YNK,30-60,34.9
11013,YNK,60-120,70.9
11013,YNK,120+,117.6
11014,AD,0-5,38.7
11014,AD,5-15,38.8
11014,AD,15-30,39.1
11014,AD,30-60,40.6
11014,AD,60-120,68.2
11014,AD,120+,105.7
11014,ATP,0-5,18.7
11014,ATP,5-15,18.8
11014,ATP,15-30,18.9
11014,ATP,30-60,25.1
11014,ATP,60-120,55.5
11014,ATP,120+,103.3
11014,BNC,0-5,21.9
11014,BNC,5-15,21.9
11014,BNC,15-30,22.2
11014,BNC,30-60,28.2
11014,BNC,60-120,60.2
11014,BNC,120+,110.0
11014,CBE,0-5,2.7
11014,CBE,5-15,2.8
11014,CBE,15-30,2.4
11014,CBE,30-60,7.2
11014,CBE,60-120,26.6
11014,CBE,120+,51.3
11014,DD,0-5,12.1
11014,DD,5-15,12.1
11014,DD,15-30,12.2
11014,DD,30-60,17.5
11014,DD,60-120,46.2
11014,DD,120+,81.3
11014,DMM,0-5,15.4
11014,DMM,5-15,15.5
11014,DMM,15-30,15.6
11014,DMM,30-60,21.5
11014,DMM,60-120,51.4
11014,DMM,120+,96.6
11014,DPJ,0-5,16.4
11014,DPJ,5-15,16.5
11014,DPJ,15-30,16.6
11014,DPJ,30-60,22.4
11014,DPJ,60-120,51.5
11014,DPJ,120+,98.6
11014,DUD,0-5,20.6
11014,DUD,5-15,20.6
11014,DUD,15-30,20.8
11014,DUD,30-60,26.4
11014,DUD,60-120,56.6
11014,DUD,120+,105.9
11014,ED,0-5,6.8
11014,ED,5-15,6.9
11014,ED,15-30,6.8
11014,ED,30-60,11.3
11014,ED,60-120,33.7
11014,ED,120+,60.9
11014,GBD,0-5,38.6
11014,GBD,5-15,38.6
11014,GBD,15-30,38.9
11014,GBD,30-60,45.1
11014,GBD,60-120,83.3
11014,GBD,120+,136.7
11014,GTL,0-5,29.3
11014,GTL,5-15,29.4
11014,GTL,15-30,29.7
11014,GTL,30-60,35.3
11014,GTL,60-120,68.7
11014,GTL,120+,118.3
11014,GUR,0-5,17.0
11014,GUR,5-15,17.1
11014,GUR,15-30,17.2
11014,GUR,30-60,22.7
11014,GUR,60-120,50.6
11014,GUR,120+,96.2
11014,HSRA,0-5,20.5
11014,HSRA,5-15,20.6
11014,HSRA,15-30,20.7
11014,HSRA,30-60,26.2
11014,HSRA,60-120,55.5
11014,HSRA,120+,103.3
11014,HUP,0-5,36.7
11014,HUP,5-15,36.7
11014,HUP,15-30,37.0
11014,HUP,30-60,42.6
11014,HUP,60-120,80.3
11014,HUP,120+,132.8
11014,KLBG,0-5,17.0
11014,KLBG,5-15,17.1
11014,KLBG,15-30,17.2
11014,KLBG,30-60,22.7
11014,KLBG,60-120,50.6
11014,KLBG,120+,96.2
11014,KSN,0-5,26.6
11014,KSN,5-15,26.7
11014,KSN,15-30,26.8
11014,KSN,30-60,32.7
11014,KSN,60-120,65.0
11014,KSN,120+,115.4
11014,KWV,0-5,30.0
11014,KWV,5-15,30.0
11014,KWV,15-30,30.3
11014,KWV,30-60,35.9
11014,KWV,60-120,68.9
11014,KWV,120+,117.2
11014,KYN,0-5,33.9
11014,KYN,5-15,33.9
11014,KYN,15-30,34.2
11014,KYN,30-60,40.0
11014,KYN,60-120,74.6
11014,KYN,120+,124.4
11014,LTT,0-5,23.1
11014,LTT,5-15,23.1
11014,LTT,15-30,23.4
11014,LTT,30-60,29.1
11014,LTT,60-120,59.3
11014,LTT,120+,107.6
11014,MALM,0-5,23.7
11014,MALM,5-15,23.7
11014,MALM,15-30,24.0
11014,MALM,30-60,29.6
11014,MALM,60-120,60.3
11014,MALM,120+,110.4
11014,PUNE,0-5,16.3
11014,PUNE,5-15,16.3
11014,PUNE,15-30,16.5
11014,PUNE,30-60,21.9
11014,PUNE,60-120,50.0
11014,PUNE,120+,95.6
11014,RC,0-5,22.3
11014,RC,5-15,22.3
11014,RC,15-30,22.6
11014,RC,30-60,28.3
11014,RC,60-120,58.5
11014,RC,120+,106.7
11014,SA,0-5,11.9
11014,SA,5-15,11.9
11014,SA,15-30,11.8
11014,SA,30-60,16.4
11014,SA,60-120,42.7
11014,SA,120+,74.6
11014,SBC,0-5,27.9
11014,SBC,5-15,27.9
11014,SBC,15-30,28.2
11014,SBC,30-60,34.0
11014,SBC,60-120,65.7
11014,SBC,120+,116.2
11014,SDB,0-5,13.3
11014,SDB,5-15,13.3
11014,SDB,15-30,13.5
11014,SDB,30-60,18.6
