train_no,station_code,prev_delay_bucket,predicted_delay_min
12487,ARQ,30-60,16.6
12487,ARQ,60-120,35.7
12487,ARQ,120+,50.4
12487,ARR,0-5,12.9
12487,ARR,5-15,12.9
12487,ARR,15-30,13.3
12487,ARR,30-60,20.0
12487,ARR,60-120,41.0
12487,ARR,120+,60.0
12487,BDL,0-5,14.3
12487,BDL,5-15,14.3
12487,BDL,15-30,15.0
12487,BDL,30-60,23.0
12487,BDL,60-120,45.4
12487,BDL,120+,84.5
12487,BGS,0-5,22.6
12487,BGS,5-15,22.6
12487,BGS,15-30,23.1
12487,BGS,30-60,30.8
12487,BGS,60-120,59.4
12487,BGS,120+,83.4
12487,BJU,0-5,18.4
12487,BJU,5-15,18.5
12487,BJU,15-30,19.0
12487,BJU,30-60,25.6
12487,BJU,60-120,49.7
12487,BJU,120+,71.3
12487,CNB,0-5,27.5
12487,CNB,5-15,27.6
12487,CNB,15-30,28.1
12487,CNB,30-60,35.7
12487,CNB,60-120,69.3
12487,CNB,120+,101.5
12487,DDU,0-5,7.1
12487,DDU,5-15,7.1
12487,DDU,15-30,7.5
12487,DDU,30-60,12.2
12487,DDU,60-120,31.0
12487,DDU,120+,42.7
12487,DLN,0-5,45.7
12487,DLN,5-15,45.7
12487,DLN,15-30,46.3
12487,DLN,30-60,55.0
12487,DLN,60-120,94.6
12487,DLN,120+,146.0
12487,DNR,0-5,18.8
12487,DNR,5-15,18.9
12487,DNR,15-30,19.4
12487,DNR,30-60,26.4
12487,DNR,60-120,53.5
12487,DNR,120+,78.3
12487,FBG,0-5,8.6
12487,FBG,5-15,8.7
12487,FBG,15-30,9.0
12487,FBG,30-60,14.0
12487,FBG,60-120,33.1
12487,FBG,120+,44.5
12487,GZB,0-5,18.8
12487,GZB,5-15,18.8
12487,GZB,15-30,19.4
12487,GZB,30-60,26.5
12487,GZB,60-120,53.7
12487,GZB,120+,77.9
12487,JBN,0-5,1.9
12487,JBN,5-15,1.9
12487,JBN,15-30,2.0
12487,JBN,30-60,4.9
12487,JBN,60-120,18.0
12487,JBN,120+,22.4
12487,KGG,0-5,19.0
12487,KGG,5-15,19.1
12487,KGG,15-30,19.6
12487,KGG,30-60,25.5
12487,KGG,60-120,46.3
12487,KGG,120+,63.0
12487,KIR,0-5,8.7
12487,KIR,5-15,8.7
12487,KIR,15-30,9.1
12487,KIR,30-60,14.0
12487,KIR,60-120,33.0
12487,KIR,120+,44.4
12487,MZP,0-5,11.5
12487,MZP,5-15,11.6
12487,MZP,15-30,12.0
12487,MZP,30-60,17.6
12487,MZP,60-120,37.4
12487,MZP,120+,51.7
12487,NNA,0-5,9.0
12487,NNA,5-15,9.1
12487,NNA,15-30,9.5
12487,NNA,30-60,14.4
12487,NNA,60-120,32.8
12487,NNA,120+,45.1
12487,PPTA,0-5,10.0
12487,PPTA,5-15,10.0
12487,PPTA,15-30,10.4
12487,PPTA,30-60,15.6
12487,PPTA,60-120,34.0
12487,PPTA,120+,48.0
12487,PRNA,0-5,13.9
12487,PRNA,5-15,14.0
12487,PRNA,15-30,14.5
12487,PRNA,30-60,20.4
12487,PRNA,60-120,40.3
12487,PRNA,120+,58.2
12487,PRYJ,0-5,18.3
12487,PRYJ,5-15,18.4
12487,PRYJ,15-30,18.9
12487,PRYJ,30-60,25.3
12487,PRYJ,60-120,49.5
12487,PRYJ,120+,70.0
12487,SFG,0-5,14.1
12487,SFG,5-15,14.1
12487,SFG,15-30,14.6
12487,SFG,30-60,20.0
12487,SFG,60-120,39.8
12487,SFG,120+,58.2
12487,TDL,0-5,25.1
12487,TDL,5-15,25.2
12487,TDL,15-30,25.8
12487,TDL,30-60,33.1
12487,TDL,60-120,64.1
12487,TDL,120+,94.4
12488,ALJN,0-5,36.4
12488,ALJN,5-15,36.4
12488,ALJN,15-30,36.5
12488,ALJN,30-60,38.7
12488,ALJN,60-120,62.1
12488,ALJN,120+,75.6
12488,ANVT,0-5,1.3
12488,ANVT,5-15,1.4
12488,ANVT,15-30,1.1
12488,ANVT,30-60,3.0
12488,ANVT,60-120,15.7
12488,ANVT,120+,21.4
12488,ARQ,0-5,38.2
12488,ARQ,5-15,38.2
12488,ARQ,15-30,38.3
12488,ARQ,30-60,45.7
12488,ARQ,60-120,80.4
12488,ARQ,120+,129.8
12488,ARR,0-5,52.7
12488,ARR,5-15,52.8
12488,ARR,15-30,52.9
12488,ARR,30-60,61.0
12488,ARR,60-120,97.9
12488,ARR,120+,147.3
12488,BDL,0-5,20.1
12488,BDL,5-15,20.1
12488,BDL,15-30,20.7
12488,BDL,30-60,29.0
12488,BDL,60-120,56.3
12488,BDL,120+,99.0
12488,BGS,0-5,43.8
12488,BGS,5-15,43.8
12488,BGS,15-30,44.0
12488,BGS,30-60,51.5
12488,BGS,60-120,85.7
12488,BGS,120+,131.9
12488,BJU,0-5,38.5
12488,BJU,5-15,38.6
12488,BJU,15-30,38.6
12488,BJU,30-60,45.7
12488,BJU,60-120,79.7
12488,BJU,120+,128.2
12488,CNB,0-5,27.5
12488,CNB,5-15,27.5
12488,CNB,15-30,27.6
12488,CNB,30-60,33.5
12488,CNB,60-120,64.0
12488,CNB,120+,95.5
12488,DDU,0-5,19.2
12488,DDU,5-15,19.2
12488,DDU,15-30,19.3
12488,DDU,30-60,25.3
12488,DDU,60-120,51.2
12488,DDU,120+,76.9
12488,DLN,0-5,24.3
12488,DLN,5-15,24.4
12488,DLN,15-30,24.4
12488,DLN,30-60,30.0
12488,DLN,60-120,57.2
12488,DLN,120+,86.4
12488,DNR,0-5,30.8
12488,DNR,5-15,30.8
12488,DNR,15-30,30.9
12488,DNR,30-60,37.2
12488,DNR,60-120,68.3
12488,DNR,120+,105.7
12488,FBG,0-5,51.9
12488,FBG,5-15,51.9
12488,FBG,15-30,52.0
12488,FBG,30-60,59.6
12488,FBG,60-120,95.4
12488,FBG,120+,143.8
12488,GZB,0-5,5.7
12488,GZB,5-15,5.8
12488,GZB,15-30,5.6
12488,GZB,30-60,8.8
12488,GZB,60-120,22.7
12488,GZB,120+,32.5
12488,JBN,0-5,31.4
12488,JBN,5-15,31.4
12488,JBN,15-30,31.3
12488,JBN,30-60,38.0
12488,JBN,60-120,69.8
12488,JBN,120+,108.6
12488,KGG,0-5,48.3
12488,KGG,5-15,48.3
12488,KGG,15-30,48.5
12488,KGG,30-60,55.5
12488,KGG,60-120,88.3
12488,KGG,120+,133.2
12488,KIR,0-5,34.7
12488,KIR,5-15,34.7
12488,KIR,15-30,34.8
12488,KIR,30-60,41.6
12488,KIR,60-120,73.3
12488,KIR,120+,119.0
12488,MZP,0-5,30.6
12488,MZP,5-15,30.7
12488,MZP,15-30,30.6
12488,MZP,30-60,36.9
12488,MZP,60-120,68.0
12488,MZP,120+,104.5
12488,NNA,0-5,50.3
12488,NNA,5-15,50.4
12488,NNA,15-30,50.5
12488,NNA,30-60,58.0
12488,NNA,60-120,93.4
12488,NNA,120+,141.6
12488,PPTA,0-5,30.4
12488,PPTA,5-15,30.4
12488,PPTA,15-30,30.5
12488,PPTA,30-60,36.9
12488,PPTA,60-120,67.9
12488,PPTA,120+,104.4
12488,PRNA,0-5,45.8
12488,PRNA,5-15,45.8
12488,PRNA,15-30,46.0
12488,PRNA,30-60,53.3
12488,PRNA,60-120,87.3
12488,PRNA,120+,134.9
12488,PRYJ,0-5,27.4
12488,PRYJ,5-15,27.5
12488,PRYJ,15-30,27.6
12488,PRYJ,30-60,33.1
12488,PRYJ,60-120,63.3
12488,PRYJ,120+,94.1
12488,SFG,0-5,21.8
12488,SFG,5-15,21.8
12488,SFG,15-30,22.2
12488,SFG,30-60,28.9
12488,SFG,60-120,62.3
12488,SFG,120+,109.0
12488,TDL,0-5,16.3
12488,TDL,5-15,16.4
12488,TDL,15-30,16.5
12488,TDL,30-60,21.7
12488,TDL,60-120,43.4
12488,TDL,120+,64.4
12553,BGS,0-5,35.8
12553,BGS,5-15,35.8
12553,BGS,15-30,35.7
12553,BGS,30-60,40.7
12553,BGS,60-120,71.9
12553,BGS,120+,114.8
12553,BJU,0-5,30.7
12553,BJU,5-15,30.7
12553,BJU,15-30,30.7
12553,BJU,30-60,35.4
12553,BJU,60-120,66.2
12553,BJU,120+,108.0
12553,CNB,0-5,28.8
12553,CNB,5-15,28.9
12553,CNB,15-30,29.1
12553,CNB,30-60,34.1
12553,CNB,60-120,63.6
12553,CNB,120+,98.0
12553,CPR,0-5,32.2
12553,CPR,5-15,32.2
12553,CPR,15-30,32.1
12553,CPR,30-60,36.4
12553,CPR,60-120,61.0
12553,CPR,120+,86.1
12553,DEOS,0-5,30.4
12553,DEOS,5-15,30.5
12553,DEOS,15-30,30.6
12553,DEOS,30-60,34.8
12553,DEOS,60-120,61.4
12553,DEOS,120+,85.0
12553,DSS,0-5,29.4
12553,DSS,5-15,29.5
12553,DSS,15-30,29.4
12553,DSS,30-60,32.9
12553,DSS,60-120,58.4
12553,DSS,120+,80.4
12553,ETW,0-5,28.9
12553,ETW,5-15,28.9
12553,ETW,15-30,29.0
12553,ETW,30-60,33.2
12553,ETW,60-120,61.8
12553,ETW,120+,93.2
12553,GKP,0-5,28.9
12553,GKP,5-15,29.0
12553,GKP,15-30,29.1
12553,GKP,30-60,33.3
12553,GKP,60-120,59.2
12553,GKP,120+,83.7
12553,GZB,0-5,26.5
12553,GZB,5-15,26.6
12553,GZB,15-30,27.1
12553,GZB,30-60,31.9
12553,GZB,60-120,60.1
12553,GZB,120+,93.0
12553,HJP,0-5,28.7
12553,HJP,5-15,28.7
12553,HJP,15-30,28.9
12553,HJP,30-60,32.5
12553,HJP,60-120,57.9
12553,HJP,120+,80.3
12553,KGG,0-5,28.2
12553,KGG,5-15,28.2
12553,KGG,15-30,28.3
12553,KGG,30-60,32.1
12553,KGG,60-120,58.7
12553,KGG,120+,86.5
12553,MFP,0-5,27.6
12553,MFP,5-15,27.7
12553,MFP,15-30,27.8
12553,MFP,30-60,31.2
12553,MFP,60-120,55.1
12553,MFP,120+,75.3
12553,MNE,0-5,26.0
12553,MNE,5-15,26.0
12553,MNE,15-30,26.4
12553,MNE,30-60,30.7
12553,MNE,60-120,57.7
12553,MNE,120+,89.0
12553,NDLS,0-5,25.0
12553,NDLS,5-15,25.1
12553,NDLS,15-30,25.4
12553,NDLS,30-60,29.8
12553,NDLS,60-120,56.5
12553,NDLS,120+,87.2
12553,SPJ,0-5,27.4
12553,SPJ,5-15,27.5
12553,SPJ,15-30,27.7
12553,SPJ,30-60,31.2
12553,SPJ,60-120,51.2
12553,SPJ,120+,71.4
12553,SV,0-5,27.0
12553,SV,5-15,27.1
12553,SV,15-30,27.3
12553,SV,30-60,31.1
12553,SV,60-120,51.0
12553,SV,120+,70.6
12553,TDL,0-5,25.3
12553,TDL,5-15,25.3
12553,TDL,15-30,25.7
12553,TDL,30-60,30.0
12553,TDL,60-120,55.9
12553,TDL,120+,86.7
12555,ADR,0-5,135.3
12555,ADR,5-15,135.6
12555,ADR,15-30,135.3
12555,ADR,30-60,124.9
12555,ADR,60-120,132.4
12555,ADR,120+,157.6
12555,BBK,0-5,14.8
12555,BBK,5-15,14.9
12555,BBK,15-30,14.9
12555,BBK,30-60,18.8
12555,BBK,60-120,33.8
12555,BBK,120+,59.5
12555,BGZ,0-5,104.1
12555,BGZ,5-15,104.3
12555,BGZ,15-30,104.0
12555,BGZ,30-60,106.2
12555,BGZ,60-120,124.0
12555,BGZ,120+,162.3
12555,BHT,0-5,110.8
12555,BHT,5-15,111.0
12555,BHT,15-30,110.7
12555,BHT,30-60,110.3
12555,BHT,60-120,129.2
12555,BHT,120+,161.7
12555,BNW,0-5,98.3
12555,BNW,5-15,98.6
12555,BNW,15-30,98.3
12555,BNW,30-60,98.7
12555,BNW,60-120,116.4
12555,BNW,120+,150.9
12555,BST,0-5,4.3
12555,BST,5-15,4.4
12555,BST,15-30,4.6
12555,BST,30-60,7.8
12555,BST,60-120,16.2
12555,BST,120+,35.3
12555,BTI,0-5,68.8
12555,BTI,5-15,69.0
12555,BTI,15-30,68.7
12555,BTI,30-60,74.0
12555,BTI,60-120,95.5
12555,BTI,120+,135.6
12555,BV,0-5,5.0
12555,BV,5-15,5.0
12555,BV,15-30,5.2
12555,BV,30-60,7.6
12555,BV,60-120,16.1
12555,BV,120+,32.6
12555,CNB,0-5,37.7
12555,CNB,5-15,37.7
12555,CNB,15-30,37.4
12555,CNB,30-60,42.7
12555,CNB,60-120,62.5
12555,CNB,120+,96.6
12555,GD,0-5,12.1
12555,GD,5-15,12.1
12555,GD,15-30,12.2
12555,GD,30-60,15.1
12555,GD,60-120,25.6
12555,GD,120+,45.2
12555,GKP,0-5,1.0
12555,GKP,5-15,1.3
12555,GKP,15-30,1.2
12555,GKP,30-60,1.5
12555,GKP,60-120,3.3
12555,GKP,120+,4.9
12555,HSR,0-5,106.3
12555,HSR,5-15,106.5
12555,HSR,15-30,106.2
12555,HSR,30-60,108.4
12555,HSR,60-120,122.5
12555,HSR,120+,158.4
12555,KLD,0-5,1.1
12555,KLD,5-15,1.1
12555,KLD,15-30,1.1
12555,KLD,30-60,2.6
12555,KLD,60-120,8.1
12555,KLD,120+,22.2
12555,KLNK,0-5,105.8
12555,KLNK,5-15,106.0
12555,KLNK,15-30,105.7
12555,KLNK,30-60,107.4
12555,KLNK,60-120,120.1
12555,KLNK,120+,155.0
12555,LKO,0-5,27.0
12555,LKO,5-15,27.0
12555,LKO,15-30,26.0
12555,LKO,30-60,28.6
12555,LKO,60-120,41.6
12555,LKO,120+,69.4
12555,MUR,0-5,9.9
12555,MUR,5-15,9.9
12555,MUR,15-30,10.0
12555,MUR,30-60,12.7
12555,MUR,60-120,22.4
12555,MUR,120+,41.1
12555,NDLS,0-5,62.5
12555,NDLS,5-15,62.7
12555,NDLS,15-30,62.2
12555,NDLS,30-60,65.5
12555,NDLS,60-120,87.3
12555,NDLS,120+,125.6
12555,NNO,0-5,95.6
12555,NNO,5-15,95.9
12555,NNO,15-30,95.3
12555,NNO,30-60,96.9
12555,NNO,60-120,118.4
12555,NNO,120+,154.0
12555,ON,0-5,36.6
12555,ON,5-15,36.6
12555,ON,15-30,36.1
12555,ON,30-60,40.4
12555,ON,60-120,59.1
12555,ON,120+,91.7
12555,ROK,0-5,102.4
12555,ROK,5-15,102.6
12555,ROK,15-30,102.1
12555,ROK,30-60,105.7
12555,ROK,60-120,121.5
12555,ROK,120+,162.6
12555,SSA,0-5,111.5
12555,SSA,5-15,111.7
12555,SSA,15-30,111.1
12555,SSA,30-60,113.7
12555,SSA,60-120,130.3
12555,SSA,120+,164.5
12555,SSB,0-5,95.5
12555,SSB,5-15,95.7
12555,SSB,15-30,95.2
12555,SSB,30-60,98.9
12555,SSB,60-120,115.7
12555,SSB,120+,152.2
12556,ADR,0-5,94.8
12556,ADR,5-15,95.2
12556,ADR,15-30,94.2
12556,ADR,30-60,86.4
12556,ADR,60-120,96.4
12556,ADR,120+,115.5
12556,BBK,0-5,62.2
12556,BBK,5-15,62.4
12556,BBK,15-30,61.6
12556,BBK,30-60,66.6
12556,BBK,60-120,121.2
12556,BBK,120+,177.1
12556,BGZ,0-5,32.2
12556,BGZ,5-15,32.4
12556,BGZ,15-30,31.7
12556,BGZ,30-60,36.1
12556,BGZ,60-120,86.6
12556,BGZ,120+,146.9
12556,BHT,0-5,30.1
12556,BHT,5-15,30.3
12556,BHT,15-30,29.6
12556,BHT,30-60,35.4
12556,BHT,60-120,80.9
12556,BHT,120+,133.3
12556,BNW,0-5,33.5
12556,BNW,5-15,33.7
12556,BNW,15-30,33.0
12556,BNW,30-60,38.5
12556,BNW,60-120,86.8
12556,BNW,120+,139.8
12556,BST,0-5,74.8
12556,BST,5-15,75.0
12556,BST,15-30,75.2
12556,BST,30-60,79.4
12556,BST,60-120,136.6
12556,BST,120+,179.2
12556,BTI,0-5,43.2
12556,BTI,5-15,43.6
12556,BTI,15-30,42.9
12556,BTI,30-60,50.8
12556,BTI,60-120,75.7
12556,BTI,120+,111.2
12556,BV,0-5,78.9
12556,BV,5-15,79.1
12556,BV,15-30,79.3
12556,BV,30-60,82.8
12556,BV,60-120,138.4
12556,BV,120+,183.7
12556,CNB,0-5,47.9
12556,CNB,5-15,48.2
12556,CNB,15-30,47.5
12556,CNB,30-60,52.2
12556,CNB,60-120,108.3
12556,CNB,120+,166.3
12556,GD,0-5,70.1
12556,GD,5-15,70.3
12556,GD,15-30,70.5
12556,GD,30-60,72.6
12556,GD,60-120,127.5
12556,GD,120+,170.1
12556,GKP,0-5,72.7
12556,GKP,5-15,72.9
12556,GKP,15-30,71.6
12556,GKP,30-60,73.7
12556,GKP,60-120,129.5
12556,GKP,120+,175.6
12556,HSR,0-5,31.2
12556,HSR,5-15,31.4
12556,HSR,15-30,30.4
12556,HSR,30-60,34.0
12556,HSR,60-120,80.5
12556,HSR,120+,132.6
12556,KLD,0-5,81.8
12556,KLD,5-15,82.0
12556,KLD,15-30,80.7
12556,KLD,30-60,82.6
12556,KLD,60-120,136.0
12556,KLD,120+,186.7
12556,KLNK,0-5,41.2
12556,KLNK,5-15,41.4
12556,KLNK,15-30,40.4
12556,KLNK,30-60,43.6
12556,KLNK,60-120,91.7
12556,KLNK,120+,143.8
12556,LKO,0-5,62.6
12556,LKO,5-15,62.8
12556,LKO,15-30,61.9
12556,LKO,30-60,66.0
12556,LKO,60-120,122.0
12556,LKO,120+,181.2
12556,MUR,0-5,76.7
12556,MUR,5-15,76.9
12556,MUR,15-30,75.6
12556,MUR,30-60,77.7
12556,MUR,60-120,131.4
12556,MUR,120+,173.0
12556,NDLS,0-5,46.6
12556,NDLS,5-15,46.8
12556,NDLS,15-30,45.9
12556,NDLS,30-60,50.3
12556,NDLS,60-120,106.6
12556,NDLS,120+,165.2
12556,NNO,0-5,40.7
12556,NNO,5-15,40.9
12556,NNO,15-30,39.9
12556,NNO,30-60,43.0
12556,NNO,60-120,92.0
12556,NNO,120+,144.2
12556,ON,0-5,48.7
12556,ON,5-15,48.9
12556,ON,15-30,48.0
12556,ON,30-60,51.6
12556,ON,60-120,106.7
12556,ON,120+,163.6
12556,ROK,0-5,31.0
12556,ROK,5-15,31.2
12556,ROK,15-30,30.2
12556,ROK,30-60,34.8
12556,ROK,60-120,84.8
12556,ROK,120+,142.1
12556,SSA,0-5,29.9
12556,SSA,5-15,30.1
12556,SSA,15-30,29.2
12556,SSA,30-60,32.8
12556,SSA,60-120,79.8
12556,SSA,120+,131.7
12556,SSB,0-5,43.4
12556,SSB,5-15,43.6
12556,SSB,15-30,42.7
12556,SSB,30-60,47.4
12556,SSB,60-120,107.3
12556,SSB,120+,163.7
12557,ANVT,0-5,74.5
12557,ANVT,5-15,74.5
12557,ANVT,15-30,74.1
12557,ANVT,30-60,74.6
12557,ANVT,60-120,108.9
12557,ANVT,120+,143.7
12557,BMKI,0-5,18.3
12557,BMKI,5-15,18.3
12557,BMKI,15-30,18.3
12557,BMKI,30-60,23.2
12557,BMKI,60-120,52.5
12557,BMKI,120+,79.0
12557,BTH,0-5,24.0
12557,BTH,5-15,24.0
12557,BTH,15-30,24.3
12557,BTH,30-60,30.3
12557,BTH,60-120,62.8
12557,BTH,120+,97.6
12557,BUG,0-5,23.9
12557,BUG,5-15,24.0
12557,BUG,15-30,24.3
12557,BUG,30-60,30.3
12557,BUG,60-120,62.8
12557,BUG,120+,98.9
12557,CAA,0-5,11.4
12557,CAA,5-15,11.4
12557,CAA,15-30,11.4
12557,CAA,30-60,16.7
12557,CAA,60-120,39.1
12557,CAA,120+,62.8
12557,CAI,0-5,25.9
12557,CAI,5-15,25.9
12557,CAI,15-30,26.1
12557,CAI,30-60,32.4
12557,CAI,60-120,65.2
12557,CAI,120+,103.7
12557,CPJ,0-5,12.6
12557,CPJ,5-15,12.7
12557,CPJ,15-30,12.7
12557,CPJ,30-60,17.8
12557,CPJ,60-120,42.5
12557,CPJ,120+,67.1
12557,GD,0-5,33.5
12557,GD,5-15,33.5
12557,GD,15-30,33.3
12557,GD,30-60,39.6
12557,GD,60-120,73.5
12557,GD,120+,121.6
12557,GKP,0-5,24.4
12557,GKP,5-15,24.4
12557,GKP,15-30,24.6
12557,GKP,30-60,29.2
12557,GKP,60-120,58.9
12557,GKP,120+,87.5
12557,HIR,0-5,24.2
12557,HIR,5-15,24.3
12557,HIR,15-30,24.6
12557,HIR,30-60,30.0
12557,HIR,60-120,61.5
12557,HIR,120+,96.9
12557,LKO,0-5,33.5
12557,LKO,5-15,33.5
12557,LKO,15-30,33.3
12557,LKO,30-60,39.3
12557,LKO,60-120,72.5
12557,LKO,120+,119.5
12557,MAI,0-5,8.0
12557,MAI,5-15,8.0
12557,MAI,15-30,7.8
12557,MAI,30-60,12.0
12557,MAI,60-120,28.8
12557,MAI,120+,47.8
12557,MB,0-5,44.6
12557,MB,5-15,44.6
12557,MB,15-30,44.4
12557,MB,30-60,50.9
12557,MB,60-120,86.4
12557,MB,120+,135.0
12557,MFP,0-5,1.9
12557,MFP,5-15,1.9
12557,MFP,15-30,1.7
12557,MFP,30-60,2.7
12557,MFP,60-120,13.1
12557,MFP,120+,17.8
12557,MTR,0-5,5.1
12557,MTR,5-15,5.1
12557,MTR,15-30,4.9
12557,MTR,30-60,7.8
12557,MTR,60-120,23.2
12557,MTR,120+,35.2
12557,NKE,0-5,24.4
12557,NKE,5-15,24.4
12557,NKE,15-30,24.7
12557,NKE,30-60,30.2
12557,NKE,60-120,60.9
12557,NKE,120+,96.3
12557,PPA,0-5,12.4
12557,PPA,5-15,12.5
12557,PPA,15-30,12.5
12557,PPA,30-60,17.1
12557,PPA,60-120,39.0
12557,PPA,120+,61.9
12557,SBZ,0-5,13.5
12557,SBZ,5-15,13.5
12557,SBZ,15-30,13.6
12557,SBZ,30-60,18.6
12557,SBZ,60-120,43.2
12557,SBZ,120+,68.0
12557,SGL,0-5,15.9
12557,SGL,5-15,15.9
12557,SGL,15-30,16.0
12557,SGL,30-60,20.8
12557,SGL,60-120,47.4
12557,SGL,120+,74.4
12558,ANVT,0-5,8.5
12558,ANVT,5-15,8.5
12558,ANVT,15-30,7.8
12558,ANVT,30-60,9.4
12558,ANVT,60-120,24.9
12558,ANVT,120+,36.0
12558,BMKI,0-5,36.5
12558,BMKI,5-15,36.5
12558,BMKI,15-30,36.6
12558,BMKI,30-60,43.7
12558,BMKI,60-120,80.2
12558,BMKI,120+,134.0
12558,BTH,0-5,37.8
12558,BTH,5-15,37.8
12558,BTH,15-30,37.9
12558,BTH,30-60,44.7
12558,BTH,60-120,81.6
12558,BTH,120+,136.1
12558,BUG,0-5,26.5
12558,BUG,5-15,26.5
12558,BUG,15-30,26.7
12558,BUG,30-60,33.1
12558,BUG,60-120,63.6
12558,BUG,120+,113.5
12558,CAA,0-5,38.0
12558,CAA,5-15,38.0
12558,CAA,15-30,38.1
12558,CAA,30-60,45.4
12558,CAA,60-120,82.1
12558,CAA,120+,136.6
12558,CAI,0-5,34.7
12558,CAI,5-15,34.7
12558,CAI,15-30,34.7
12558,CAI,30-60,41.4
12558,CAI,60-120,81.3
12558,CAI,120+,135.7
12558,CPJ,0-5,26.6
12558,CPJ,5-15,26.7
12558,CPJ,15-30,26.8
12558,CPJ,30-60,33.2
12558,CPJ,60-120,63.4
12558,CPJ,120+,112.4
12558,GD,0-5,31.5
12558,GD,5-15,31.5
12558,GD,15-30,31.6
12558,GD,30-60,37.7
12558,GD,60-120,70.0
12558,GD,120+,120.2
12558,GKP,0-5,24.2
12558,GKP,5-15,24.2
12558,GKP,15-30,24.2
12558,GKP,30-60,29.2
12558,GKP,60-120,54.0
12558,GKP,120+,97.9
12558,HIR,0-5,30.4
12558,HIR,5-15,30.4
12558,HIR,15-30,30.5
12558,HIR,30-60,36.4
12558,HIR,60-120,68.6
12558,HIR,120+,118.5
12558,LKO,0-5,29.7
12558,LKO,5-15,29.7
12558,LKO,15-30,29.8
12558,LKO,30-60,35.6
12558,LKO,60-120,65.5
12558,LKO,120+,114.5
12558,MAI,0-5,39.2
12558,MAI,5-15,39.2
12558,MAI,15-30,39.3
12558,MAI,30-60,46.1
12558,MAI,60-120,81.5
12558,MAI,120+,134.9
12558,MB,0-5,13.6
12558,MB,5-15,13.7
12558,MB,15-30,13.5
12558,MB,30-60,17.9
12558,MB,60-120,40.0
12558,MB,120+,71.3
12558,MFP,0-5,28.2
12558,MFP,5-15,28.3
12558,MFP,15-30,28.4
12558,MFP,30-60,33.8
12558,MFP,60-120,61.4
12558,MFP,120+,107.5
12558,MTR,0-5,38.5
12558,MTR,5-15,38.6
12558,MTR,15-30,38.7
12558,MTR,30-60,45.5
12558,MTR,60-120,81.0
12558,MTR,120+,133.9
12558,NKE,0-5,30.3
12558,NKE,5-15,30.3
12558,NKE,15-30,30.4
12558,NKE,30-60,36.4
12558,NKE,60-120,68.4
12558,NKE,120+,117.7
12558,PPA,0-5,37.1
12558,PPA,5-15,37.2
12558,PPA,15-30,37.3
12558,PPA,30-60,44.5
12558,PPA,60-120,79.5
12558,PPA,120+,132.6
12558,SBZ,0-5,29.4
12558,SBZ,5-15,29.4
12558,SBZ,15-30,29.5
12558,SBZ,30-60,35.3
12558,SBZ,60-120,67.4
12558,SBZ,120+,116.3
12558,SGL,0-5,41.5
12558,SGL,5-15,41.5
12558,SGL,15-30,41.6
12558,SGL,30-60,48.0
12558,SGL,60-120,83.6
12558,SGL,120+,137.3
12559,BNRS,0-5,2.2
12559,BNRS,5-15,2.3
12559,BNRS,15-30,4.0
12559,BNRS,30-60,7.6
12559,BNRS,60-120,21.9
12559,BNRS,120+,42.4
12559,BSBS,0-5,3.2
12559,BSBS,5-15,3.2
12559,BSBS,15-30,4.6
12559,BSBS,30-60,10.6
12559,BSBS,60-120,25.8
12559,BSBS,120+,50.3
12559,CNB,0-5,24.3
12559,CNB,5-15,24.4
12559,CNB,15-30,23.8
12559,CNB,30-60,33.8
12559,CNB,60-120,58.0
12559,CNB,120+,101.5
12559,GYN,0-5,6.0
12559,GYN,5-15,6.1
12559,GYN,15-30,7.3
12559,GYN,30-60,10.8
12559,GYN,60-120,28.1
12559,GYN,120+,55.3
12559,NDLS,0-5,41.0
12559,NDLS,5-15,41.0
12559,NDLS,15-30,39.3
12559,NDLS,30-60,52.3
12559,NDLS,60-120,94.0
12559,NDLS,120+,152.9
12559,PRYJ,0-5,18.2
12559,PRYJ,5-15,18.3
12559,PRYJ,15-30,16.9
12559,PRYJ,30-60,22.9
12559,PRYJ,60-120,45.2
12559,PRYJ,120+,78.9
12560,BNRS,0-5,26.3
12560,BNRS,5-15,26.4
12560,BNRS,15-30,28.1
12560,BNRS,30-60,36.3
12560,BNRS,60-120,77.0
12560,BNRS,120+,120.5
12560,BSBS,0-5,10.7
12560,BSBS,5-15,10.7
12560,BSBS,15-30,12.2
12560,BSBS,30-60,18.3
12560,BSBS,60-120,39.5
12560,BSBS,120+,68.7
12560,CNB,0-5,38.3
12560,CNB,5-15,38.3
12560,CNB,15-30,36.3
12560,CNB,30-60,52.9
12560,CNB,60-120,93.8
12560,CNB,120+,157.4
12560,GYN,0-5,26.0
12560,GYN,5-15,26.0
12560,GYN,15-30,24.3
12560,GYN,30-60,31.3
12560,GYN,60-120,68.7
12560,GYN,120+,122.0
12560,NDLS,0-5,12.8
12560,NDLS,5-15,12.8
12560,NDLS,15-30,11.6
12560,NDLS,30-60,14.9
12560,NDLS,60-120,33.8
12560,NDLS,120+,58.1
12560,PRYJ,0-5,33.8
12560,PRYJ,5-15,33.9
12560,PRYJ,15-30,28.9
12560,PRYJ,30-60,38.3
12560,PRYJ,60-120,76.4
12560,PRYJ,120+,128.2
12561,ALJN,0-5,37.8
12561,ALJN,5-15,37.8
12561,ALJN,15-30,39.3
12561,ALJN,30-60,45.6
